,131598.5,1378348,2020/3/1 9:10,Y56
,131599.8,1378356,2020/3/1 9:15,Y56
,131599.8,1378356,2020/3/1 9:20,Y56
,131602.3,1378372,2020/3/1 9:25,Y56
,131603.6,1378380,2020/3/1 9:30,Y56
,131604.8,1378388,2020/3/1 9:35,Y56
,131606,1378396,2020/3/1 9:40,Y56
,131607.3,1378404,2020/3/1 9:45,Y56
,131608.5,1378412,2020/3/1 9:50,Y56
,131609.7,1378420,2020/3/1 9:55,Y56
,131610.9,1378427,2020/3/1 10:00,Y56
,131612.2,1378435,2020/3/1 10:05,Y56
,131613.4,1378443,2020/3/1 10:10,Y56
,131613.4,1378443,2020/3/1 10:15,Y56
,131615.9,1378458,2020/3/1 10:20,Y56
,131615.9,1378458,2020/3/1 10:25,Y56
,131618.3,1378474,2020/3/1 10:30,Y56
,131618.3,1378474,2020/3/1 10:35,Y56
,131620.8,1378490,2020/3/1 10:40,Y56
,131620.8,1378490,2020/3/1 10:45,Y56
,131623.3,1378506,2020/3/1 10:50,Y56
,131625.8,1378521,2020/3/1 11:00,Y56
,131625.8,1378521,2020/3/1 11:05,Y56
,131628.2,1378537,2020/3/1 11:10,Y56
,131628.2,1378537,2020/3/1 11:15,Y56
,131630.7,1378552,2020/3/1 11:20,Y56
,131630.7,1378552,2020/3/1 11:25,Y56
,131633.2,1378568,2020/3/1 11:30,Y56
,131633.2,1378568,2020/3/1 11:35,Y56
,131635.6,1378584,2020/3/1 11:40,Y56
,131635.6,1378584,2020/3/1 11:45,Y56
,131638.1,1378599,2020/3/1 11:50,Y56
,131638.1,1378599,2020/3/1 11:55,Y56
,131640.5,1378615,2020/3/1 12:00,Y56
,131640.5,1378615,2020/3/1 12:05,Y56
,131643,1378630,2020/3/1 12:10,Y56
,131643,1378630,2020/3/1 12:15,Y56
,131645.5,1378646,2020/3/1 12:20,Y56
,131645.5,1378646,2020/3/1 12:25,Y56
,131648,1378662,2020/3/1 12:30,Y56
,131648,1378662,2020/3/1 12:35,Y56
,131650.4,1378677,2020/3/1 12:40,Y56
,131650.4,1378677,2020/3/1 12:45,Y56
,131652.9,1378693,2020/3/1 12:50,Y56
,131652.9,1378693,2020/3/1 12:55,Y56
,131655.3,1378709,2020/3/1 13:00,Y56
,131656.4,1378716,2020/3/1 13:05,Y56
,131657.6,1378724,2020/3/1 13:10,Y56
,131658.8,1378732,2020/3/1 13:15,Y56
,131660,1378740,2020/3/1 13:20,Y56
,131661.2,1378747,2020/3/1 13:25,Y56
,131662.5,1378755,2020/3/1 13:30,Y56
,131663.7,1378763,2020/3/1 13:35,Y56
,131665,1378771,2020/3/1 13:40,Y56
,131666.2,1378778,2020/3/1 13:45,Y56
,131667.4,1378786,2020/3/1 13:50,Y56
,131668.6,1378794,2020/3/1 13:55,Y56
,131668.6,1378794,2020/3/1 14:00,Y56
,131671.1,1378810,2020/3/1 14:05,Y56
,131672.4,1378817,2020/3/1 14:10,Y56
,131673.6,1378825,2020/3/1 14:15,Y56
,131674.9,1378833,2020/3/1 14:20,Y56
,131676.1,1378840,2020/3/1 14:25,Y56
,131677.3,1378848,2020/3/1 14:30,Y56
,131678.6,1378856,2020/3/1 14:35,Y56
,131679.8,1378864,2020/3/1 14:40,Y56
,131681,1378872,2020/3/1 14:45,Y56
,131682.3,1378879,2020/3/1 14:50,Y56
,131683.5,1378887,2020/3/1 14:55,Y56
,131684.7,1378895,2020/3/1 15:00,Y56
,131686,1378903,2020/3/1 15:05,Y56
,131686,1378903,2020/3/1 15:10,Y56
,131688.4,1378918,2020/3/1 15:15,Y56
,131688.4,1378918,2020/3/1 15:20,Y56
,131690.9,1378934,2020/3/1 15:25,Y56
,131690.9,1378934,2020/3/1 15:30,Y56
,131693.4,1378949,2020/3/1 15:35,Y56
,131693.4,1378949,2020/3/1 15:40,Y56
,131695.9,1378965,2020/3/1 15:45,Y56
,131695.9,1378965,2020/3/1 15:50,Y56
,131698.3,1378980,2020/3/1 15:55,Y56
,131698.3,1378980,2020/3/1 16:00,Y56
,131700.8,1378996,2020/3/1 16:05,Y56
,131700.8,1378996,2020/3/1 16:10,Y56
,131703.2,1379011,2020/3/1 16:15,Y56
,131703.2,1379011,2020/3/1 16:20,Y56
,131705.6,1379026,2020/3/1 16:25,Y56
,131705.6,1379026,2020/3/1 16:30,Y56
,131708,1379042,2020/3/1 16:35,Y56
,131708,1379042,2020/3/1 16:40,Y56
,131710.4,1379057,2020/3/1 16:45,Y56
,131710.4,1379057,2020/3/1 16:50,Y56
,131713,1379073,2020/3/1 16:55,Y56
,131714.2,1379081,2020/3/1 17:00,Y56
,131715.5,1379088,2020/3/1 17:05,Y56
,131716.8,1379096,2020/3/1 17:10,Y56
,131718.1,1379104,2020/3/1 17:15,Y56
,131720.7,1379119,2020/3/1 17:25,Y56
,131721.9,1379127,2020/3/1 17:30,Y56
,131723.2,1379135,2020/3/1 17:35,Y56
,131724.5,1379142,2020/3/1 17:40,Y56
,131725.8,1379150,2020/3/1 17:45,Y56
,131727,1379158,2020/3/1 17:50,Y56
,131728.3,1379166,2020/3/1 17:55,Y56
,131729.6,1379173,2020/3/1 18:00,Y56
,131730.9,1379181,2020/3/1 18:05,Y56
,131732.2,1379189,2020/3/1 18:10,Y56
,131733.5,1379197,2020/3/1 18:15,Y56
,131734.8,1379204,2020/3/1 18:20,Y56
,131736.1,1379212,2020/3/1 18:25,Y56
,131737.5,1379220,2020/3/1 18:30,Y56
,131738.8,1379227,2020/3/1 18:35,Y56
,131740.1,1379235,2020/3/1 18:40,Y56
,131740.1,1379235,2020/3/1 18:45,Y56
,131742.7,1379250,2020/3/1 18:50,Y56
,131742.7,1379250,2020/3/1 18:55,Y56
,131745.4,1379266,2020/3/1 19:00,Y56
,131745.4,1379266,2020/3/1 19:05,Y56
,131747.9,1379281,2020/3/1 19:10,Y56
,131747.9,1379281,2020/3/1 19:15,Y56
,131750.5,1379297,2020/3/1 19:20,Y56
,131750.5,1379297,2020/3/1 19:25,Y56
,131753.1,1379312,2020/3/1 19:30,Y56
,131753.1,1379312,2020/3/1 19:35,Y56
,131755.6,1379328,2020/3/1 19:40,Y56
,131755.6,1379328,2020/3/1 19:45,Y56
,131758.2,1379343,2020/3/1 19:50,Y56
,131758.2,1379343,2020/3/1 19:55,Y56
,131760.8,1379358,2020/3/1 20:00,Y56
,131760.8,1379358,2020/3/1 20:05,Y56
,131763.3,1379374,2020/3/1 20:10,Y56
,131763.3,1379374,2020/3/1 20:15,Y56
,131765.9,1379389,2020/3/1 20:20,Y56
,131765.9,1379389,2020/3/1 20:25,Y56
,131768.4,1379405,2020/3/1 20:30,Y56
,131768.4,1379405,2020/3/1 20:35,Y56
,131770.7,1379419,2020/3/1 20:40,Y56
,131772.3,1379428,2020/3/1 20:45,Y56
,131773.6,1379436,2020/3/1 20:50,Y56
,131773.6,1379436,2020/3/1 20:55,Y56
